No_Pelajar,Kod_Kursus_Pelajar,Semester_Pelajar,Jantina,Kod_Negeri_Pelajar,CGPA,GPA,Has_Award,Total_Credit_Taken,Avg_Subjek_Attendance,Avg_Subjek_Marks,Total_Dropped,Total_Failed,Total_Koko,PLO_1,PLO_2,PLO_3,PLO_4,PLO_5,PLO_6,PLO_7,PLO_8,PLO_9,Source_File,Status_Pelajar
333571241379,ITW,6,L,D,3.33,3.5,False,94,91.86842105263158,82.36842105263158,0,0,0,71.38,77.16542857142856,82.86739082608696,79.66599959999999,88.63625,80.10111155555555,72.31333333333333,71.74285785714287,90.5,JJ2025,Sederhana
333571241382,ITW,6,L,D,3.73,4.0,False,94,92.10526315789474,86.23684210526316,0,0,0,80.9,83.9742854,87.19130482608695,79.2910003,89.1950006875,79.78666688888889,79.42555566666667,75.05285757142858,88.83333333333333,JJ2025,Sederhana
333571241395,ITW,6,L,D,3.83,4.0,False,94,91.97368421052632,87.94736842105263,0,0,0,83.1,84.95914282857143,87.83999965217392,89.7810006,91.04812525,84.45333355555556,76.44333311111112,85.01571428571428,92.16666666666669,JJ2025,Sederhana
333571241405,ITW,6,L,M,3.48,3.15,False,94,92.10526315789474,83.39473684210526,0,0,0,70.92,81.56399994285714,81.97739113043478,85.4489997,91.267500375,78.31444466666667,76.3822221111111,75.43428528571428,88.83333333333333,JJ2025,Sederhana
333571241418,ITW,6,L,T,3.61,3.5,False,94,91.94736842105264,85.84210526315789,0,0,0,80.0,80.90857131428572,83.93217434782609,84.1489997,92.8418750625,84.94444444444444,80.17666666666668,80.30428542857143,91.16666666666669,JJ2025,Sederhana
333571241421,ITW,6,L,T,3.77,4.0,False,94,92.10526315789474,88.05263157894737,0,0,0,81.4,84.1345712,90.82086952173913,91.1799997,90.1706251875,81.16666666666667,82.33555522222223,85.24857171428572,83.0,JJ2025,Sederhana
333571241476,ITW,6,L,T,3.12,3.15,False,94,91.92105263157896,79.26315789473684,0,0,0,65.44,77.69914268571429,77.28478308695652,78.2120002,85.04812525,76.63888888888889,66.01333277777778,74.66000042857142,82.66666666666667,JJ2025,Sederhana
333571241489,ITW,6,L,B,3.34,3.5,False,94,92.10526315789474,82.26315789473684,0,0,0,72.94,77.57742837142857,81.02826086956522,79.65400009999999,89.27187537500001,80.31444466666667,74.04444466666666,77.81142857142858,77.83333333333333,JJ2025,Sederhana
333571241492,ITW,6,L,D,3.61,3.7,False,94,91.94736842105264,85.89473684210526,0,0,0,76.18,82.80971414285713,86.52087004347827,84.9510003,89.395625125,83.45333355555556,77.09000022222222,81.73714228571428,81.16666666666667,JJ2025,Sederhana
333571241502,ITW,6,L,D,3.44,3.7,False,94,91.86842105263158,83.44736842105263,0,0,0,77.46,78.96057122857144,82.91043526086956,78.1150001,86.932499875,78.55555555555556,75.94777766666667,78.72857171428572,86.33333333333333,JJ2025,Sederhana
333571241515,DGA,6,L,B,3.55,0.0,False,90,91.19444444444444,84.63888888888889,0,0,0,67.4307691153846,83.75302362790698,83.22818118181819,84.73363636363636,83.75666661904762,80.7419998,83.98714342857143,77.52333333333333,88.5,JJ2025,Sederhana
