Id_Semester,No_Pelajar,Sem_Pelajar,Kod_Subjek,Kod_Ujian,Markah,Peratus,Weighted,Exam_Type
41,"333571242815",1,"GVV10033","LO2P3",80.349998,30,24.1000,"PS"
41,"333571242815",1,"GVV10033","LO2P2",90.559998,20,18.1100,"PS"
41,"333571242815",1,"GVV10033","LO2P1",94.419998,20,18.8800,"PS"
41,"333571242815",1,"GVV10033","LO1T1",62.5,20,12.5000,"PS"
41,"333571242815",1,"NUS10000","K1(F)",100,100,100.0000,"PS"
41,"333571242828",1,"NUE10000","ATTEND",100,100,100.0000,"PS"
41,"333571242828",1,"GVD10013","LO6S1",68,10,6.8000,"PS"
41,"333571242828",1,"GVD10013","LO2P3",74.330002,30,22.3000,"PS"
41,"333571242828",1,"GVD10013","LO2P2",70.769997,20,14.1500,"PS"
41,"333571242828",1,"GVD10013","LO2P1",58.459999,20,11.6900,"PS"
41,"333571242828",1,"GVD10013","LO1T2",73.330002,10,7.3300,"PS"
41,"333571242899",1,"DUY10021","LO9S4",83,20,16.6000,"PS"
41,"333571242828",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
41,"333571242828",1,"DUY10021","LO6S2",65,40,26.0000,"PS"
41,"333571242828",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
41,"333571242828",1,"DUY10021","LO9S4",60,20,12.0000,"PS"
41,"333571242967",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
41,"333571242828",1,"GVD10013","LO1T1",6,10,0.6000,"PS"
41,"333571242828",1,"GVV10023","LO5S1",83.330002,10,8.3300,"PS"
41,"333571242828",1,"GVV10023","LO2P2",93.940002,30,28.1800,"PS"
41,"333571242828",1,"GVV10023","LO2P1",90,40,36.0000,"PS"
41,"333571242828",1,"GVV10023","LO1T2",68,10,6.8000,"PS"
41,"333571242828",1,"GVV10023","LO1T1",72,10,7.2000,"PS"
41,"333571242828",1,"NUM10192","LO4S1",72,10,7.2000,"PS"
41,"333571242828",1,"NUM10192","LO3T3",87,20,17.4000,"PS"
41,"333571242828",1,"NUM10192","LO1T2",89,50,44.5000,"PS"
41,"333571242828",1,"NUM10192","LO1T1",80,20,16.0000,"PS"
41,"333571242828",1,"GVV10033","LO5S1",66.669998,10,6.6700,"PS"
41,"333571242828",1,"GVV10033","LO2P3",92.059998,30,27.6200,"PS"
41,"333571242828",1,"GVV10033","LO2P2",94.419998,20,18.8800,"PS"
41,"333571242828",1,"GVV10033","LO2P1",95.279999,20,19.0600,"PS"
41,"333571242828",1,"GVV10033","LO1T1",42.5,20,8.5000,"PS"
41,"333571242828",1,"NUS10000","K1(F)",100,100,100.0000,"PS"
41,"333571242844",1,"NUE10000","ATTEND",100,100,100.0000,"PS"
41,"333571242844",1,"GVD10013","LO6S1",70,10,7.0000,"PS"
41,"333571242844",1,"GVD10013","LO2P3",88.209999,30,26.4600,"PS"
41,"333571242844",1,"GVD10013","LO2P2",70.769997,20,14.1500,"PS"
41,"333571242844",1,"GVD10013","LO2P1",63.080002,20,12.6200,"PS"
41,"333571242844",1,"GVD10013","LO1T2",77.779999,10,7.7800,"PS"
41,"333571242844",1,"GVD10013","LO1T1",16,10,1.6000,"PS"
41,"333571242844",1,"GVV10023","LO5S1",83.330002,10,8.3300,"PS"
41,"333571242844",1,"GVV10023","LO2P2",87.879997,30,26.3600,"PS"
41,"333571242844",1,"GVV10023","LO2P1",86.669998,40,34.6700,"PS"
41,"333571242844",1,"GVV10023","LO1T2",79,10,7.9000,"PS"
41,"333571242844",1,"GVV10023","LO1T1",70,10,7.0000,"PS"
41,"333571242844",1,"NUM10192","LO4S1",92.5,10,9.2500,"PS"
41,"333571242844",1,"NUM10192","LO3T3",97,20,19.4000,"PS"
41,"333571242844",1,"NUM10192","LO1T2",83,50,41.5000,"PS"
41,"333571242844",1,"NUM10192","LO1T1",100,20,20.0000,"PS"
41,"333571242844",1,"GVV10033","LO5S1",73.330002,10,7.3300,"PS"
41,"333571242844",1,"GVV10033","LO2P3",95.279999,30,28.5800,"PS"
41,"333571242844",1,"GVV10033","LO2P2",95.279999,20,19.0600,"PS"
41,"333571242844",1,"GVV10033","LO2P1",96.779999,20,19.3600,"PS"
41,"333571242844",1,"GVV10033","LO1T1",72.5,20,14.5000,"PS"
41,"333571242844",1,"NUS10000","K1(F)",100,100,100.0000,"PS"
41,"333571242886",1,"NUE10000","ATTEND",100,100,100.0000,"PS"
41,"333571242886",1,"GVD10013","LO6S1",74,10,7.4000,"PS"
41,"333571242886",1,"GVD10013","LO2P3",70.769997,30,21.2300,"PS"
41,"333571242967",1,"DUY10021","LO6S2",80,40,32.0000,"PS"
41,"333571242967",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
41,"333571242967",1,"DUY10021","LO9S4",70,20,14.0000,"PS"
41,"333571243801",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
41,"333571243801",1,"DUY10021","LO6S2",55,40,22.0000,"PS"
41,"333571243801",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
41,"333571243801",1,"DUY10021","LO9S4",68,20,13.6000,"PS"
41,"333571242886",1,"GVD10013","LO2P2",72.82,20,14.5600,"PS"
41,"333571242886",1,"GVD10013","LO2P1",67.690002,20,13.5400,"PS"
41,"333571242886",1,"GVD10013","LO1T2",73.330002,10,7.3300,"PS"
41,"333571242886",1,"GVD10013","LO1T1",34,10,3.4000,"PS"
41,"333571242886",1,"GVV10023","LO5S1",94.400002,10,9.4400,"PS"
41,"333571242886",1,"GVV10023","LO2P2",96.669998,30,29.0000,"PS"
41,"333571242886",1,"GVV10023","LO2P1",83.330002,40,33.3300,"PS"
41,"333571242886",1,"GVV10023","LO1T2",59,10,5.9000,"PS"
41,"333571242886",1,"GVV10023","LO1T1",56,10,5.6000,"PS"
